,hostel_name,distance_centre_km,average_rating,number_reviews,average_price_usd,hw_link
63,Jetpak Eco Lodge,11.3,8.4,892,18.43,https://www.hostelworld.com/hosteldetails.php/Jetpak-Eco-Lodge/Berlin/586
64,St Christopher's Apartments Berlin,0.5,8.5,288,42.28,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Apartments-Berlin/Berlin/17994
65,"Schulz, Berlin Wall at the East Side Gallery",2.3,8.6,48,12.35,https://www.hostelworld.com/hosteldetails.php/Schulz-Berlin-Wall-at-the-East-Side-Gallery/Berlin/291134
66,HappyHostelBerlin,3.6,5.6,123,16.26,https://www.hostelworld.com/hosteldetails.php/HappyHostelBerlin/Berlin/86554
67,Pension Intervarko,1.4,9.1,124,19.51,https://www.hostelworld.com/hosteldetails.php/Pension-Intervarko/Berlin/18159
68,Old Town Hostel,2.5,8.3,60,21.68,https://www.hostelworld.com/hosteldetails.php/Old-Town-Hostel/Berlin/264179
69,Hostel City Bed 2,6.3,6.0,1947,18.70,https://www.hostelworld.com/hosteldetails.php/Hostel-City-Bed-2/Berlin/13636
70,Riverside Lodge Berlin,3.3,6.5,1376,23.85,https://www.hostelworld.com/hosteldetails.php/Riverside-Lodge-Berlin/Berlin/11736
71,Happy Go Lucky Hotel & Hostel,7.6,7.3,772,15.93,https://www.hostelworld.com/hosteldetails.php/Happy-Go-Lucky-Hotel-and-Hostel/Berlin/61154
72,Berliner Bed and Breakfast,4.9,10.0,104,33.60,https://www.hostelworld.com/hosteldetails.php/Berliner-Bed-and-Breakfast/Berlin/19423
73,Happy Go Lucky Hotel Schoeneberg,5.6,8.6,43,10.24,https://www.hostelworld.com/hosteldetails.php/Happy-Go-Lucky-Hotel-Schoeneberg/Berlin/290298
74,Hotel Helle Mitte Berlin,13.2,9.1,2,20.33,https://www.hostelworld.com/hosteldetails.php/Hotel-Helle-Mitte-Berlin/Berlin/295567
75,my-gayhostel,4.7,9.4,104,27.10,https://www.hostelworld.com/hosteldetails.php/my-gayhostel/Berlin/74846
76,Viertelvier,3.7,9.0,282,27.10,https://www.hostelworld.com/hosteldetails.php/Viertelvier/Berlin/101108
77,Minihostel 12Monkeys KuDamm,7.4,9.7,53,18.43,https://www.hostelworld.com/hosteldetails.php/Minihostel-12Monkeys-KuDamm/Berlin/273361
78,Hotel Cortina,6.4,2.7,195,21.14,https://www.hostelworld.com/hosteldetails.php/Hotel-Cortina/Berlin/14299
79,Selina Berlin West,7.1,0.0,0,31.57,https://www.hostelworld.com/hosteldetails.php/Selina-Berlin-West/Berlin/300705
80,Alecsa Hotel am Olympiastadion,12.9,0.0,1,20.05,https://www.hostelworld.com/hosteldetails.php/Alecsa-Hotel-am-Olympiastadion/Berlin/102012
81,Albergo Hotel Berlin,16.3,0.0,10,48.24,https://www.hostelworld.com/hosteldetails.php/Albergo-Hotel-Berlin/Berlin/25212
82,Die Botschaft,1.9,7.4,2,35.23,https://www.hostelworld.com/hosteldetails.php/Die-Botschaft/Berlin/283072
83,Check In Hotel,10.1,5.1,186,11.38,https://www.hostelworld.com/hosteldetails.php/Check-In-Hotel/Berlin/265654
84,Steps Hotel Berlin,4.7,0.0,54,17.13,https://www.hostelworld.com/hosteldetails.php/Steps-Hotel-Berlin/Berlin/64302
85,H+ Hotel 4Youth,2,0.0,95,34.33,https://www.hostelworld.com/hosteldetails.php/H-Hotel-4Youth/Berlin/43551
86,Hotel Ingeborg,6.7,0.0,26,27.91,https://www.hostelworld.com/hosteldetails.php/Hotel-Ingeborg/Berlin/7184
87,Apartment Schulz,2.7,0.0,102,31.98,https://www.hostelworld.com/hosteldetails.php/Apartment-Schulz/Berlin/11992
